scope,position_left,position_right,chi2,dof,p_value,cramers_v,n_observations,q_value,reject_fdr_05
Giải nhì,2,4,93.1090390272522,81.0,0.16865289069328296,0.02700503159304146,14186,0.8893547092886497,False
Giải nhì,2,5,70.26541299401293,81.0,0.7969595425451713,0.023459544160372228,14186,0.9545303943181801,False
Giải nhì,3,4,93.28754551634404,81.0,0.16545735150576307,0.02703090590753935,14186,0.8893547092886497,False
Giải nhì,3,5,81.95059098424777,81.0,0.44956776838126916,0.025335227733492102,14186,0.8993857112575668,False
Giải nhì,4,5,71.15497120740238,81.0,0.7746672747890594,0.023607575709907767,14186,0.9545303943181801,False
Giải ba,1,2,67.22546078402387,81.0,0.8637443828798733,0.013248143817085448,42558,0.9545303943181801,False
Giải ba,1,3,113.28395613747995,81.0,0.010389658055971416,0.017197778208163667,42558,0.34285871584705674,False
Giải ba,1,4,77.10203748524755,81.0,0.6020614091746048,0.014187996333271327,42558,0.9545303943181801,False
Giải ba,1,5,75.29182364788775,81.0,0.6579021297498294,0.014020453079055781,42558,0.9545303943181801,False
Giải ba,2,3,64.34321155191053,81.0,0.9127057235507406,0.012961029740370871,42558,0.9545303943181801,False
Giải ba,2,4,86.64428955713792,81.0,0.31360116026014334,0.015040355886297544,42558,0.8993857112575668,False
Giải ba,2,5,75.49535720840684,81.0,0.6517239837557054,0.014039390771555499,42558,0.9545303943181801,False
Giải ba,3,4,98.1517718781747,81.0,0.09438033837302397,0.01600800503413528,42558,0.8893547092886497,False
Giải ba,3,5,69.5899219972043,81.0,0.8130901957682268,0.013479113026275672,42558,0.9545303943181801,False
Giải ba,4,5,60.66935135248542,81.0,0.9555442713435127,0.012585567870135032,42558,0.9702449524411052,False
Giải tư,1,2,96.03610731126057,81.0,0.12162271138166085,0.019393269995654425,28372,0.8893547092886497,False
Giải tư,1,3,81.9097397586628,81.0,0.4508277207922895,0.017910245659913247,28372,0.8993857112575668,False
Giải tư,1,4,78.36767146275022,81.0,0.5621991082499171,0.017518714743269593,28372,0.9545303943181801,False
Giải tư,1,5,,,,,0,,False
Giải tư,2,3,95.57489862451142,81.0,0.12829016653832218,0.019346646338184746,28372,0.8893547092886497,False
Giải tư,2,4,63.40744094592481,81.0,0.9256052308539928,0.01575810110596249,28372,0.9545303943181801,False
Giải tư,2,5,,,,,0,,False
Giải tư,3,4,84.32870744928677,81.0,0.3781811093464272,0.018172785126287925,28372,0.8993857112575668,False
Giải tư,3,5,,,,,0,,False
Giải tư,4,5,,,,,0,,False
