model,fold,bin,mean_predicted,observed_rate,n
xgboost,validation_2023_2024,8,0.8821895122528076,0.6666666666666666,6
xgboost,validation_2023_2024,9,0.9396025538444519,0.9411764705882353,34
xgboost,validation_2023_2024,5,0.5765411853790283,1.0,1
xgboost,validation_2023_2024,6,0.6742883324623108,0.5714285714285714,7
xgboost,validation_2023_2024,7,0.7389721274375916,1.0,3
xgboost,validation_2023_2024,8,0.8601921200752258,0.7,10
xgboost,validation_2023_2024,9,0.9428837299346924,0.9310344827586207,29
xgboost,validation_2023_2024,5,0.5762180685997009,0.6666666666666666,3
xgboost,validation_2023_2024,6,0.658901035785675,0.6666666666666666,6
xgboost,validation_2023_2024,7,0.7253619432449341,0.0,1
xgboost,validation_2023_2024,8,0.8762438297271729,1.0,12
xgboost,validation_2023_2024,9,0.9436159729957581,0.9285714285714286,28
xgboost,validation_2023_2024,4,0.44906798005104065,0.0,1
xgboost,validation_2023_2024,6,0.6771016120910645,0.7142857142857143,7
xgboost,validation_2023_2024,7,0.7393175363540649,1.0,2
xgboost,validation_2023_2024,8,0.8694136738777161,0.75,12
xgboost,validation_2023_2024,9,0.9339662790298462,0.9285714285714286,28
xgboost,validation_2023_2024,5,0.5312424302101135,1.0,1
xgboost,validation_2023_2024,6,0.6633702516555786,0.4,5
xgboost,validation_2023_2024,7,0.7359590530395508,1.0,4
xgboost,validation_2023_2024,8,0.8836056590080261,1.0,8
xgboost,validation_2023_2024,9,0.9400265216827393,1.0,32
xgboost,validation_2023_2024,5,0.5783542990684509,1.0,1
xgboost,validation_2023_2024,6,0.6358476281166077,0.6666666666666666,6
xgboost,validation_2023_2024,7,0.7442858815193176,1.0,3
xgboost,validation_2023_2024,8,0.8692108988761902,0.9,10
xgboost,validation_2023_2024,9,0.9389324188232422,0.8666666666666667,30
xgboost,validation_2023_2024,4,0.4910435676574707,0.0,1
xgboost,validation_2023_2024,5,0.5753592252731323,1.0,2
xgboost,validation_2023_2024,6,0.6522058844566345,0.7142857142857143,7
xgboost,validation_2023_2024,8,0.8848382830619812,0.8181818181818182,11
xgboost,validation_2023_2024,9,0.943744421005249,0.9310344827586207,29
